tenure,monthly_charges,total_charges,contract_type,payment_method,internet_service,online_security,tech_support,streaming_tv,streaming_movies,paperless_billing,senior_citizen,partner,dependents,multiple_lines,Churn
40,101.98663619946062,4008.5800171412625,Month-to-month,Bank transfer,Fiber optic,1.5222297641974505,-0.8998999491581344,1.2619214005210975,-3.192460427728635,0.3443276628379113,0.7981300625476603,-1.3548484334020063,2.3960302882191056,1.901351286732794,1
33,52.768455034010586,1881.3736083537754,One year,Bank transfer,Fiber optic,-0.3881963126394703,0.724695804307272,0.06916149748500877,0.8746817822331887,-0.8885676345055981,0.48575117457052647,0.32721434753192113,2.46960044804303,-3.9334668008213716,0
45,20.0,1005.9624544516696,Month-to-month,Credit card,Fiber optic,0.08792853839387638,5.303071393057174,2.5134296692785414,0.35860817287912017,-0.3949403301276502,3.5111962036998876,-2.9793754459842106,-1.74584080488445,-3.0825139791438048,0
27,105.69744178603658,3001.208024642878,One year,Electronic check,No,1.485764614525539,-0.8300493814383334,-0.14510792148491758,0.42358336438364286,-0.0401161538422391,4.6175126364717896,-2.55086724009445,1.955587249932212,2.8134920567528967,1
33,44.337367031315395,1591.0677422499377,One year,Bank transfer,Fiber optic,2.909605429230044,2.686447712368332,1.1918105773644971,-2.5581116810754403,-1.050793964126702,1.4678059072943117,-2.298239071264791,4.1784832585043485,-1.5734975208091229,0
11,20.0,3.727195890678132,Month-to-month,Bank transfer,Fiber optic,0.5596734285059807,2.9181898716764305,1.9169603501351242,0.14113078412767144,-1.1611420382056454,-0.4735556729569397,-0.6740329674315325,-3.0788462830209267,0.10540853170332665,0
40,43.875839775679204,1935.797637087404,One year,Bank transfer,DSL,-1.0170500101444309,3.5165336246374457,0.4755371568732638,2.060440463574238,0.4217145490518125,-0.005674937878584374,-0.06827832092198372,-5.91730895044209,0.32064030856995096,1
12,120.0,1337.9480215143851,One year,Mailed check,Fiber optic,-2.051383282624094,0.36278905710069764,0.8911694502642125,2.1466134759221385,-0.5041002101475912,4.735094843435881,-3.555769232665606,-0.01755083474990116,2.520728819243423,0
42,115.78610112207663,4819.509142095938,One year,Bank transfer,Fiber optic,-1.8161909952011845,-3.7950754969743214,-0.1470860752673655,0.7348770047912682,0.5088932535574304,-0.7331128519395221,2.1341067230285033,-1.9971734993315493,2.5451788315802624,0
21,96.27411950220457,2102.1870413968463,One year,Bank transfer,Fiber optic,-0.11587626573586773,0.06642774347742164,0.801955412416858,1.2602033488780515,-1.3509991627824038,-0.9558904677742478,1.38797492017134,1.6080658285055844,-0.8793296512151618,0
39,91.63146318829394,3482.9615012216627,One year,Credit card,DSL,-3.3096322679608687,-2.57358244401251,0.15244060475832233,1.1683782515340118,-1.5826657807326747,-5.567884004212715,4.096758330060028,-4.4992241707854195,3.7574787102449974,0
